Condition;Stimulation
stim;vibro2
stim;vibro3
stim;vibro1
imag;vibro2
att;vibro3
imag;vibro2
stim;vibro3
stim;vibro2
att;vibro2
stim;vibro1
null;null
imag;vibro2
null;null
stim;vibro3
stim;vibro2
att;vibro1
null;null
imag;vibro1
imag;vibro3
stim;vibro1
stim;vibro2
imag;vibro1
stim;vibro3
imag;vibro1
att;vibro1
imag;vibro1
imag;vibro3
imag;vibro2
imag;vibro2
null;null
imag;vibro3
null;null
stim;vibro2
imag;vibro2
att;vibro2
stim;vibro1
stim;vibro2
att;vibro3
null;null
stim;vibro3
imag;vibro3
imag;vibro1
stim;vibro1
imag;vibro3
imag;vibro3
stim;vibro3
imag;vibro1
stim;vibro1
